trial,value,params
195,9.173637924094477,"{'alpha': 0.01156847899096529, 'l1_ratio': 0.8878390920014243}"
196,9.173453143598413,"{'alpha': 0.011612429485845559, 'l1_ratio': 0.8994316661956562}"
197,9.173401357563534,"{'alpha': 0.011365129181571553, 'l1_ratio': 0.899379233871122}"
198,9.1734354944014,"{'alpha': 0.011517185463029584, 'l1_ratio': 0.8992631456955855}"
199,9.173716456050286,"{'alpha': 0.012768593554683428, 'l1_ratio': 0.8991920205553219}"
200,9.173706491784634,"{'alpha': 0.012723995707605315, 'l1_ratio': 0.8991806287923381}"
201,9.173762219042125,"{'alpha': 0.012949108257251393, 'l1_ratio': 0.898983093458323}"
202,9.17380400622784,"{'alpha': 0.01316897530847551, 'l1_ratio': 0.8994847811986759}"
203,9.17390287646553,"{'alpha': 0.013450588622884266, 'l1_ratio': 0.8979014738644823}"
204,9.173680488278105,"{'alpha': 0.011351155280435114, 'l1_ratio': 0.8822369743096655}"
205,9.17369626538022,"{'alpha': 0.011318459174650335, 'l1_ratio': 0.8808008500422179}"
206,9.173736120430277,"{'alpha': 0.011342377546341736, 'l1_ratio': 0.878816037660853}"
207,9.173364281691068,"{'alpha': 0.010010009496397671, 'l1_ratio': 0.8814281356149988}"
208,9.173471451329174,"{'alpha': 0.010024744533115804, 'l1_ratio': 0.874190201154733}"
209,9.17353851361219,"{'alpha': 0.010057328874788253, 'l1_ratio': 0.8700976781426063}"
210,9.173953070353125,"{'alpha': 0.010186583721412049, 'l1_ratio': 0.845663698239105}"
211,9.174339731171667,"{'alpha': 0.011452871725298413, 'l1_ratio': 0.8475783507689456}"
212,9.17422147401184,"{'alpha': 0.011504515562269493, 'l1_ratio': 0.8546628143059168}"
213,9.174549661851145,"{'alpha': 0.011829304212087622, 'l1_ratio': 0.8435350172504839}"
214,9.173753681602703,"{'alpha': 0.011789606616874707, 'l1_ratio': 0.8843728904841462}"
215,9.173787615097613,"{'alpha': 0.01164106448281901, 'l1_ratio': 0.8803816256884814}"
216,9.173333309147782,"{'alpha': 0.010038565152737947, 'l1_ratio': 0.8841231041893344}"
217,9.173347726102083,"{'alpha': 0.010058586923920379, 'l1_ratio': 0.8834147263401562}"
218,9.174747320532031,"{'alpha': 0.014070626010865787, 'l1_ratio': 0.8686098825817247}"
219,9.173638707373845,"{'alpha': 0.010039093016460124, 'l1_ratio': 0.8630225038424987}"
220,9.17485397762219,"{'alpha': 0.014084163893301093, 'l1_ratio': 0.8645215627750042}"
221,9.173641281346724,"{'alpha': 0.010054588258337377, 'l1_ratio': 0.8631381791877134}"
222,9.173686964703652,"{'alpha': 0.010027064823151962, 'l1_ratio': 0.8596234316200176}"
223,9.173394121061191,"{'alpha': 0.01042062335145035, 'l1_ratio': 0.8860485197287794}"
224,9.173915639867564,"{'alpha': 0.012771393094369737, 'l1_ratio': 0.8890478169672711}"
225,9.173910099173366,"{'alpha': 0.012604359921118649, 'l1_ratio': 0.8871575232403376}"
226,9.173859013414335,"{'alpha': 0.012370030152434569, 'l1_ratio': 0.8867193232592182}"
227,9.173677378883067,"{'alpha': 0.011600469368743472, 'l1_ratio': 0.8860325305180412}"
228,9.17411395278998,"{'alpha': 0.013160584218171515, 'l1_ratio': 0.8843850614495857}"
229,10.138175668150183,"{'alpha': 1.181559865077767, 'l1_ratio': 0.8998363947021185}"
